ID,State,Sex,Age_Group,COVID_Deaths,Pneumonia_Deaths,Pneumonia_COVID_Deaths,Influenza_Deaths,Pneumonia_Influenza_COVID_Deaths
1,District of Columbia,Female,50-64,21,21,20,0,22
1,District of Columbia,Female,65-74,25,27,24,0,28
1,District of Columbia,Female,75-84,21,22,21,0,22
1,District of Columbia,Male,0-17,,,0,0,
1,District of Columbia,Male,18-29,,,,0,
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,19,22,16,0,25
1,District of Columbia,Male,65-74,21,23,19,0,25
1,District of Columbia,Male,75-84,11,14,11,0,14
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,,0,0,
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,,,,0,
1,District of Columbia,Female,50-64,16,17,15,0,18
1,District of Columbia,Female,65-74,11,12,11,0,12
1,District of Columbia,Female,75-84,10,13,10,0,13
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,12,,,0,13
1,District of Columbia,Male,65-74,,,,0,
1,District of Columbia,Male,75-84,,,,0,
1,District of Columbia,Female,0-17,0,,0,0,
1,District of Columbia,Female,18-29,,,,0,
1,District of Columbia,Female,30-39,0,,0,0,
1,District of Columbia,Female,40-49,0,0,0,0,0
1,District of Columbia,Female,50-64,,,,0,
1,District of Columbia,Female,65-74,,,,0,
1,District of Columbia,Female,75-84,,,,0,
1,District of Columbia,Male,0-17,0,,0,0,
1,District of Columbia,Male,18-29,,,,0,
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,10,11,,0,12
1,District of Columbia,Male,65-74,,,,0,
1,District of Columbia,Male,75-84,,,,0,
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,0,0,0,0
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,0,0,0,0,0
1,District of Columbia,Female,50-64,,,,0,
1,District of Columbia,Female,65-74,,,,0,
1,District of Columbia,Female,75-84,,,,0,
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,,,,0,
1,District of Columbia,Male,30-39,0,,0,0,
1,District of Columbia,Male,40-49,,0,0,0,
1,District of Columbia,Male,50-64,,,,0,
1,District of Columbia,Male,65-74,,16,,0,16
1,District of Columbia,Male,75-84,,,,0,
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,0,0,0,0
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,0,0,0,0,0
1,District of Columbia,Female,50-64,,,,0,
1,District of Columbia,Female,65-74,,,,0,
1,District of Columbia,Female,75-84,,,,0,
1,District of Columbia,Male,0-17,0,,0,0,
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,,12,,0,12
1,District of Columbia,Male,65-74,,10,,0,11
1,District of Columbia,Male,75-84,,,,0,
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,0,0,0,0
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,,,,0,
1,District of Columbia,Female,50-64,,,,0,
1,District of Columbia,Female,65-74,,,,0,
1,District of Columbia,Female,75-84,,,,0,
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,10,13,10,0,13
1,District of Columbia,Male,65-74,,,,,12
1,District of Columbia,Male,75-84,,,,0,10
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,,0,0,
1,District of Columbia,Female,30-39,0,,0,0,
1,District of Columbia,Female,40-49,,,,0,
1,District of Columbia,Female,50-64,,,,0,
1,District of Columbia,Female,65-74,12,17,10,0,19
1,District of Columbia,Female,75-84,,,,0,
1,District of Columbia,Male,0-17,0,0,0,0,0
